case,hh_size,n_adult,n_child,age,disp_income_week,eq_scale,sex_code,emp_code,eth_code,mar_code,tenure_code,educ_code,region_code,lone_parent,sex_cat,emp_cat,eth_cat,mar_cat,tenure_cat,educ_cat,region_cat
2940,1.0,1.0,0.0,54.0,0.87,1.0,2.0,7.0,1.0,4.0,7.0,1.0,3.0,2.0,Female,Retired/unoccupied but under minimum NI Pension age,White,Single,Owned outright,Degree or equivalent,Yorkshire and the Humber
2941,3.0,2.0,1.0,41.0,934.83,1.8,1.0,2.0,1.0,1.0,5.0,1.0,6.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,Eastern
2942,2.0,2.0,0.0,59.0,1183.23,1.5,1.0,2.0,1.0,1.0,7.0,7.0,4.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned outright,"Other, including foreign qualification below degree level",East Midlands
2943,4.0,2.0,2.0,32.0,850.6,2.1,2.0,2.0,1.0,1.0,5.0,1.0,3.0,2.0,Female,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,Yorkshire and the Humber
2944,1.0,1.0,0.0,27.0,1.54,1.0,1.0,7.0,10.0,4.0,4.0,4.0,1.0,2.0,Male,Retired/unoccupied but under minimum NI Pension age,Other ethnic group,Single,Priv. rented (furnished),ONC National level/BTEC,North East
2945,2.0,2.0,0.0,55.0,381.33,1.5,1.0,2.0,1.0,5.0,7.0,3.0,8.0,2.0,Male,Full-time employee,White,Widowed,Owned outright,A-Levels/Highers,South East
2946,2.0,2.0,0.0,70.0,407.35,1.5,1.0,6.0,1.0,1.0,7.0,,2.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,North West and Merseyside
2947,4.0,2.0,2.0,43.0,824.11,2.1,2.0,1.0,1.0,1.0,5.0,2.0,12.0,2.0,Female,Self-employed,White,Married and living with your husband/wife,Owned with mortgage,Higher education qualification below degree level,Northern Ireland
2948,2.0,2.0,0.0,30.0,1115.7952,1.5,1.0,2.0,1.0,3.0,5.0,4.0,7.0,2.0,Male,Full-time employee,White,Cohabitee,Owned with mortgage,ONC National level/BTEC,London
2949,2.0,2.0,0.0,80.0,302.724,1.5,1.0,6.0,1.0,1.0,7.0,,6.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,Eastern
2950,2.0,2.0,0.0,54.0,848.61,1.5,1.0,2.0,1.0,1.0,7.0,1.0,11.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned outright,Degree or equivalent,Scotland
2951,5.0,2.0,3.0,29.0,842.15,2.4,1.0,2.0,1.0,1.0,3.0,1.0,8.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Priv. rented (unfurn),Degree or equivalent,South East
2952,2.0,2.0,0.0,58.0,1337.0,1.5,1.0,2.0,1.0,1.0,5.0,2.0,8.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Higher education qualification below degree level,South East
2953,2.0,2.0,0.0,70.0,608.01,1.5,1.0,6.0,1.0,1.0,7.0,,7.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,London
2954,4.0,2.0,2.0,27.0,390.74,2.1,2.0,2.0,1.0,1.0,3.0,3.0,12.0,2.0,Female,Full-time employee,White,Married and living with your husband/wife,Priv. rented (unfurn),A-Levels/Highers,Northern Ireland
2955,2.0,2.0,0.0,78.0,453.11,1.5,1.0,1.0,1.0,1.0,7.0,,6.0,2.0,Male,Self-employed,White,Married and living with your husband/wife,Owned outright,,Eastern
2956,1.0,1.0,0.0,80.0,222.442,1.0,2.0,6.0,1.0,5.0,7.0,,1.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Widowed,Owned outright,,North East
2957,3.0,1.0,2.0,29.0,411.23,1.6,2.0,2.0,1.0,4.0,2.0,5.0,5.0,1.0,Female,Full-time employee,White,Single,Hsng Assn (furnished unfrnish),O-Level or GCSE A-C,West Midlands
2958,2.0,2.0,0.0,57.0,1630.56,1.5,1.0,3.0,1.0,1.0,5.0,1.0,5.0,2.0,Male,Part-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,West Midlands
2959,3.0,2.0,1.0,38.0,467.05,1.8,1.0,2.0,1.0,1.0,7.0,4.0,3.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned outright,ONC National level/BTEC,Yorkshire and the Humber
2960,2.0,2.0,0.0,57.0,192.75,1.5,1.0,7.0,1.0,1.0,1.0,,12.0,2.0,Male,Retired/unoccupied but under minimum NI Pension age,White,Married and living with your husband/wife,LA (furnished unfurnished),,Northern Ireland
2961,5.0,2.0,3.0,38.0,857.6436,2.6,1.0,2.0,1.0,1.0,5.0,1.0,2.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,North West and Merseyside
2962,4.0,2.0,2.0,34.0,570.54,2.1,1.0,2.0,1.0,1.0,3.0,7.0,9.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Priv. rented (unfurn),"Other, including foreign qualification below degree level",South West
2963,1.0,1.0,0.0,72.0,360.172,1.0,2.0,6.0,1.0,5.0,7.0,,8.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Widowed,Owned outright,,South East
2964,2.0,2.0,0.0,62.0,398.0,1.5,1.0,3.0,1.0,1.0,3.0,,4.0,2.0,Male,Part-time employee,White,Married and living with your husband/wife,Priv. rented (unfurn),,East Midlands
2965,3.0,2.0,1.0,36.0,444.9,1.8,1.0,2.0,1.0,1.0,3.0,4.0,5.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Priv. rented (unfurn),ONC National level/BTEC,West Midlands
2966,3.0,3.0,0.0,53.0,1329.98,2.0,2.0,2.0,1.0,1.0,5.0,7.0,6.0,2.0,Female,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,"Other, including foreign qualification below degree level",Eastern
2967,1.0,1.0,0.0,66.0,623.65,1.0,2.0,1.0,1.0,5.0,7.0,7.0,10.0,2.0,Female,Self-employed,White,Widowed,Owned outright,"Other, including foreign qualification below degree level",Wales
2968,1.0,1.0,0.0,80.0,420.892,1.0,2.0,6.0,1.0,5.0,7.0,,6.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Widowed,Owned outright,,Eastern
2969,5.0,2.0,3.0,30.0,600.81,2.4,1.0,7.0,1.0,1.0,1.0,5.0,11.0,2.0,Male,Retired/unoccupied but under minimum NI Pension age,White,Married and living with your husband/wife,LA (furnished unfurnished),O-Level or GCSE A-C,Scotland
2970,1.0,1.0,0.0,76.0,144.042,1.0,2.0,6.0,1.0,6.0,7.0,,4.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Divorced,Owned outright,,East Midlands
2971,4.0,2.0,2.0,45.0,302.93,2.1,1.0,1.0,4.0,1.0,7.0,2.0,7.0,2.0,Male,Self-employed,Black or Black British,Married and living with your husband/wife,Owned outright,Higher education qualification below degree level,London
2972,3.0,2.0,1.0,44.0,765.5464,2.0,1.0,2.0,1.0,1.0,5.0,4.0,8.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,ONC National level/BTEC,South East
2973,4.0,2.0,2.0,41.0,715.98,2.1,1.0,2.0,1.0,1.0,5.0,1.0,7.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,London
2974,2.0,2.0,0.0,80.0,609.104,1.5,1.0,6.0,1.0,1.0,7.0,,8.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,South East
2975,1.0,1.0,0.0,33.0,461.38,1.0,1.0,2.0,1.0,4.0,3.0,1.0,6.0,2.0,Male,Full-time employee,White,Single,Priv. rented (unfurn),Degree or equivalent,Eastern
2976,2.0,2.0,0.0,75.0,401.854,1.5,1.0,6.0,1.0,1.0,7.0,,6.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,Eastern
2977,3.0,1.0,2.0,41.0,230.71,1.8,2.0,3.0,1.0,6.0,5.0,5.0,8.0,1.0,Female,Part-time employee,White,Divorced,Owned with mortgage,O-Level or GCSE A-C,South East
2978,1.0,1.0,0.0,60.0,306.94,1.0,1.0,2.0,1.0,6.0,5.0,,5.0,2.0,Male,Full-time employee,White,Divorced,Owned with mortgage,,West Midlands
2979,4.0,2.0,2.0,48.0,805.6088,2.3,1.0,2.0,1.0,1.0,5.0,1.0,2.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,North West and Merseyside
2980,2.0,2.0,0.0,30.0,295.68,1.5,2.0,3.0,1.0,4.0,3.0,1.0,11.0,2.0,Female,Part-time employee,White,Single,Priv. rented (unfurn),Degree or equivalent,Scotland
2981,1.0,1.0,0.0,39.0,78.56,1.0,1.0,7.0,1.0,4.0,5.0,6.0,12.0,2.0,Male,Retired/unoccupied but under minimum NI Pension age,White,Single,Owned with mortgage,GCSE D-G,Northern Ireland
2982,2.0,2.0,0.0,33.0,1318.2712,1.5,1.0,1.0,1.0,1.0,5.0,7.0,8.0,2.0,Male,Self-employed,White,Married and living with your husband/wife,Owned with mortgage,"Other, including foreign qualification below degree level",South East
2983,1.0,1.0,0.0,80.0,274.232,1.0,1.0,6.0,1.0,5.0,7.0,,5.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Widowed,Owned outright,,West Midlands
2984,5.0,2.0,3.0,39.0,655.61,2.6,2.0,4.0,4.0,1.0,2.0,1.0,2.0,2.0,Female,Unemployed,Black or Black British,Married and living with your husband/wife,Hsng Assn (furnished unfrnish),Degree or equivalent,North West and Merseyside
2985,5.0,2.0,3.0,43.0,523.8006,2.4,1.0,2.0,1.0,1.0,5.0,6.0,2.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,GCSE D-G,North West and Merseyside
2986,2.0,2.0,0.0,57.0,930.01,1.5,1.0,2.0,1.0,1.0,7.0,8.0,5.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned outright,No formal qualifications,West Midlands
2987,2.0,2.0,0.0,62.0,769.59,1.5,1.0,2.0,1.0,1.0,7.0,7.0,9.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned outright,"Other, including foreign qualification below degree level",South West
2988,3.0,3.0,0.0,54.0,1053.38,2.0,1.0,2.0,1.0,3.0,5.0,2.0,2.0,2.0,Male,Full-time employee,White,Cohabitee,Owned with mortgage,Higher education qualification below degree level,North West and Merseyside
2989,2.0,2.0,0.0,59.0,1384.72,1.5,1.0,7.0,1.0,1.0,7.0,1.0,10.0,2.0,Male,Retired/unoccupied but under minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,Degree or equivalent,Wales
2990,1.0,1.0,0.0,72.0,267.662,1.0,2.0,6.0,1.0,5.0,5.0,,4.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Widowed,Owned with mortgage,,East Midlands
2991,4.0,2.0,2.0,47.0,478.55,2.1,2.0,7.0,1.0,7.0,3.0,7.0,9.0,1.0,Female,Retired/unoccupied but under minimum NI Pension age,White,Separated,Priv. rented (unfurn),"Other, including foreign qualification below degree level",South West
2992,3.0,2.0,1.0,39.0,888.75,1.8,1.0,2.0,1.0,3.0,5.0,3.0,2.0,2.0,Male,Full-time employee,White,Cohabitee,Owned with mortgage,A-Levels/Highers,North West and Merseyside
2993,5.0,4.0,1.0,50.0,621.38,2.8,2.0,3.0,1.0,1.0,2.0,5.0,11.0,2.0,Female,Part-time employee,White,Married and living with your husband/wife,Hsng Assn (furnished unfrnish),O-Level or GCSE A-C,Scotland
2994,2.0,2.0,0.0,37.0,731.13,1.5,1.0,2.0,1.0,1.0,5.0,2.0,6.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Higher education qualification below degree level,Eastern
2995,2.0,2.0,0.0,63.0,518.47,1.5,2.0,2.0,1.0,1.0,5.0,4.0,10.0,2.0,Female,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,ONC National level/BTEC,Wales
2996,1.0,1.0,0.0,50.0,196.73,1.0,2.0,1.0,1.0,4.0,7.0,5.0,12.0,2.0,Female,Self-employed,White,Single,Owned outright,O-Level or GCSE A-C,Northern Ireland
2997,3.0,2.0,1.0,47.0,1630.56,2.0,2.0,1.0,1.0,1.0,5.0,1.0,8.0,2.0,Female,Self-employed,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,South East
2998,2.0,2.0,0.0,40.0,1039.67,1.5,1.0,2.0,1.0,1.0,5.0,1.0,8.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,South East
2999,4.0,3.0,1.0,58.0,1630.56,2.3,1.0,2.0,1.0,1.0,7.0,1.0,11.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned outright,Degree or equivalent,Scotland
3000,2.0,2.0,0.0,72.0,844.614,1.5,1.0,6.0,1.0,1.0,7.0,,11.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,Scotland
3001,2.0,2.0,0.0,71.0,890.8,1.5,1.0,6.0,1.0,1.0,7.0,,10.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,Wales
3002,2.0,2.0,0.0,79.0,478.724,1.5,1.0,6.0,1.0,1.0,7.0,,6.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,Eastern
3003,1.0,1.0,0.0,80.0,271.55,1.0,2.0,6.0,1.0,5.0,7.0,,4.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Widowed,Owned outright,,East Midlands
3004,1.0,1.0,0.0,43.0,500.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,6.0,2.0,Male,Self-employed,White,Single,Owned with mortgage,O-Level or GCSE A-C,Eastern
3005,2.0,2.0,0.0,68.0,625.9,1.5,1.0,6.0,1.0,1.0,7.0,2.0,2.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,Higher education qualification below degree level,North West and Merseyside
3006,2.0,2.0,0.0,58.0,923.6,1.5,1.0,2.0,1.0,1.0,7.0,,11.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned outright,,Scotland
3007,2.0,2.0,0.0,65.0,713.52,1.5,1.0,6.0,1.0,1.0,7.0,5.0,8.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,O-Level or GCSE A-C,South East
3008,1.0,1.0,0.0,20.0,283.38,1.0,2.0,3.0,1.0,4.0,4.0,3.0,8.0,2.0,Female,Part-time employee,White,Single,Priv. rented (furnished),A-Levels/Highers,South East
3009,2.0,2.0,0.0,65.0,244.042,1.5,2.0,6.0,1.0,5.0,1.0,,1.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Widowed,LA (furnished unfurnished),,North East
3010,2.0,1.0,1.0,51.0,169.33,1.5,2.0,7.0,1.0,4.0,1.0,6.0,2.0,1.0,Female,Retired/unoccupied but under minimum NI Pension age,White,Single,LA (furnished unfurnished),GCSE D-G,North West and Merseyside
3011,3.0,3.0,0.0,48.0,871.72,2.0,1.0,2.0,1.0,3.0,5.0,1.0,8.0,2.0,Male,Full-time employee,White,Cohabitee,Owned with mortgage,Degree or equivalent,South East
3012,3.0,2.0,1.0,30.0,724.77,1.8,1.0,2.0,1.0,1.0,3.0,7.0,7.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Priv. rented (unfurn),"Other, including foreign qualification below degree level",London
3013,3.0,1.0,2.0,37.0,509.92,1.6,2.0,3.0,1.0,6.0,5.0,3.0,5.0,1.0,Female,Part-time employee,White,Divorced,Owned with mortgage,A-Levels/Highers,West Midlands
3014,2.0,2.0,0.0,26.0,794.7312,1.5,1.0,2.0,1.0,3.0,4.0,1.0,3.0,2.0,Male,Full-time employee,White,Cohabitee,Priv. rented (furnished),Degree or equivalent,Yorkshire and the Humber
3015,4.0,2.0,2.0,37.0,650.98,2.1,1.0,2.0,1.0,1.0,5.0,5.0,6.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,O-Level or GCSE A-C,Eastern
3016,1.0,1.0,0.0,72.0,435.532,1.0,2.0,6.0,1.0,5.0,7.0,,2.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Widowed,Owned outright,,North West and Merseyside
3017,4.0,2.0,2.0,36.0,434.26,2.1,1.0,2.0,1.0,1.0,5.0,1.0,9.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,South West
3018,2.0,2.0,0.0,50.0,233.86,1.5,2.0,3.0,1.0,7.0,2.0,,6.0,2.0,Female,Part-time employee,White,Separated,Hsng Assn (furnished unfrnish),,Eastern
3019,1.0,1.0,0.0,70.0,230.692,1.0,2.0,6.0,1.0,5.0,1.0,,7.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Widowed,LA (furnished unfurnished),,London
3020,4.0,4.0,0.0,54.0,1128.8806,2.5,1.0,2.0,1.0,1.0,7.0,1.0,6.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned outright,Degree or equivalent,Eastern
3021,2.0,2.0,0.0,29.0,562.053,1.5,1.0,2.0,1.0,3.0,5.0,4.0,9.0,2.0,Male,Full-time employee,White,Cohabitee,Owned with mortgage,ONC National level/BTEC,South West
3022,3.0,3.0,0.0,54.0,1003.61,2.0,1.0,2.0,1.0,1.0,5.0,1.0,7.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,London
3023,1.0,1.0,0.0,57.0,91.82,1.0,2.0,7.0,1.0,6.0,2.0,,4.0,2.0,Female,Retired/unoccupied but under minimum NI Pension age,White,Divorced,Hsng Assn (furnished unfrnish),,East Midlands
3024,1.0,1.0,0.0,56.0,199.892,1.0,1.0,7.0,1.0,4.0,1.0,4.0,8.0,2.0,Male,Retired/unoccupied but under minimum NI Pension age,White,Single,LA (furnished unfurnished),ONC National level/BTEC,South East
3025,1.0,1.0,0.0,66.0,419.21,1.0,2.0,6.0,1.0,6.0,7.0,1.0,5.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Divorced,Owned outright,Degree or equivalent,West Midlands
3026,3.0,2.0,1.0,54.0,1303.95,2.0,2.0,2.0,1.0,1.0,7.0,1.0,11.0,2.0,Female,Full-time employee,White,Married and living with your husband/wife,Owned outright,Degree or equivalent,Scotland
3027,2.0,2.0,0.0,47.0,939.8518,1.5,1.0,2.0,1.0,8.0,5.0,3.0,2.0,2.0,Male,Full-time employee,White,Civil Partner or Former Civil Partner,Owned with mortgage,A-Levels/Highers,North West and Merseyside
3028,1.0,1.0,0.0,80.0,203.272,1.0,2.0,6.0,1.0,5.0,7.0,,11.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Widowed,Owned outright,,Scotland
3029,4.0,2.0,2.0,46.0,839.53,2.1,1.0,2.0,1.0,1.0,7.0,5.0,3.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned outright,O-Level or GCSE A-C,Yorkshire and the Humber
3030,2.0,2.0,0.0,67.0,364.864,1.5,1.0,6.0,1.0,1.0,7.0,8.0,8.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,No formal qualifications,South East
3031,1.0,1.0,0.0,52.0,819.942,1.0,1.0,2.0,1.0,7.0,3.0,7.0,8.0,2.0,Male,Full-time employee,White,Separated,Priv. rented (unfurn),"Other, including foreign qualification below degree level",South East
3032,3.0,1.0,2.0,44.0,535.87,1.6,2.0,3.0,1.0,6.0,5.0,2.0,11.0,1.0,Female,Part-time employee,White,Divorced,Owned with mortgage,Higher education qualification below degree level,Scotland
3033,4.0,4.0,0.0,50.0,559.38,2.5,1.0,2.0,1.0,1.0,8.0,2.0,6.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Rent free,Higher education qualification below degree level,Eastern
3034,5.0,3.0,2.0,38.0,603.69,2.6,1.0,2.0,1.0,3.0,1.0,7.0,4.0,2.0,Male,Full-time employee,White,Cohabitee,LA (furnished unfurnished),"Other, including foreign qualification below degree level",East Midlands
3035,2.0,2.0,0.0,24.0,997.68,1.5,2.0,2.0,1.0,3.0,3.0,1.0,8.0,2.0,Female,Full-time employee,White,Cohabitee,Priv. rented (unfurn),Degree or equivalent,South East
3036,2.0,2.0,0.0,57.0,622.65,1.5,2.0,3.0,1.0,3.0,7.0,6.0,9.0,2.0,Female,Part-time employee,White,Cohabitee,Owned outright,GCSE D-G,South West
3037,2.0,2.0,0.0,50.0,294.424,1.5,1.0,7.0,1.0,1.0,3.0,,2.0,2.0,Male,Retired/unoccupied but under minimum NI Pension age,White,Married and living with your husband/wife,Priv. rented (unfurn),,North West and Merseyside
3038,4.0,3.0,1.0,47.0,626.66,2.3,2.0,2.0,1.0,3.0,3.0,7.0,5.0,2.0,Female,Full-time employee,White,Cohabitee,Priv. rented (unfurn),"Other, including foreign qualification below degree level",West Midlands
3039,4.0,2.0,2.0,31.0,603.32,2.1,2.0,2.0,1.0,1.0,6.0,1.0,5.0,2.0,Female,Full-time employee,White,Married and living with your husband/wife,Owned by rental purchase,Degree or equivalent,West Midlands
3040,4.0,2.0,2.0,32.0,557.83,2.1,1.0,2.0,1.0,1.0,3.0,2.0,4.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Priv. rented (unfurn),Higher education qualification below degree level,East Midlands
3041,4.0,2.0,2.0,42.0,300.36,2.1,1.0,1.0,1.0,3.0,1.0,,6.0,2.0,Male,Self-employed,White,Cohabitee,LA (furnished unfurnished),,Eastern
3042,1.0,1.0,0.0,80.0,127.632,1.0,2.0,6.0,1.0,5.0,7.0,,7.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Widowed,Owned outright,,London
3043,2.0,2.0,0.0,67.0,371.674,1.5,2.0,6.0,1.0,1.0,2.0,2.0,8.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Hsng Assn (furnished unfrnish),Higher education qualification below degree level,South East
3044,3.0,3.0,0.0,49.0,1630.56,2.0,2.0,2.0,1.0,1.0,5.0,1.0,10.0,2.0,Female,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,Wales
3045,3.0,2.0,1.0,38.0,887.81,1.8,1.0,2.0,3.0,1.0,7.0,1.0,3.0,2.0,Male,Full-time employee,Asian or Asian British,Married and living with your husband/wife,Owned outright,Degree or equivalent,Yorkshire and the Humber
3046,2.0,2.0,0.0,80.0,537.7032,1.5,2.0,6.0,1.0,6.0,1.0,,4.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Divorced,LA (furnished unfurnished),,East Midlands
3047,2.0,2.0,0.0,64.0,416.3506,1.5,1.0,3.0,1.0,1.0,7.0,7.0,6.0,2.0,Male,Part-time employee,White,Married and living with your husband/wife,Owned outright,"Other, including foreign qualification below degree level",Eastern
3048,4.0,4.0,0.0,53.0,903.973,2.5,2.0,2.0,1.0,4.0,5.0,2.0,1.0,2.0,Female,Full-time employee,White,Single,Owned with mortgage,Higher education qualification below degree level,North East
3049,4.0,2.0,2.0,46.0,918.29,2.1,1.0,2.0,1.0,1.0,5.0,2.0,6.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Higher education qualification below degree level,Eastern
3050,2.0,2.0,0.0,73.0,405.004,1.5,1.0,6.0,1.0,1.0,7.0,,9.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,South West
3051,4.0,2.0,2.0,34.0,513.17,2.1,1.0,2.0,1.0,1.0,5.0,7.0,4.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,"Other, including foreign qualification below degree level",East Midlands
3052,2.0,2.0,0.0,68.0,1001.394,1.5,1.0,6.0,1.0,1.0,5.0,2.0,11.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned with mortgage,Higher education qualification below degree level,Scotland
3053,3.0,3.0,0.0,64.0,591.644,2.0,1.0,7.0,1.0,1.0,7.0,4.0,10.0,2.0,Male,Retired/unoccupied but under minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,ONC National level/BTEC,Wales
3054,2.0,2.0,0.0,57.0,1040.69,1.5,1.0,2.0,1.0,1.0,7.0,2.0,6.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned outright,Higher education qualification below degree level,Eastern
3055,4.0,3.0,1.0,44.0,1223.5,2.3,1.0,2.0,1.0,1.0,5.0,1.0,2.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,North West and Merseyside
3056,1.0,1.0,0.0,77.0,204.642,1.0,1.0,6.0,1.0,5.0,3.0,,1.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Widowed,Priv. rented (unfurn),,North East
3057,2.0,2.0,0.0,65.0,291.422,1.5,1.0,6.0,1.0,1.0,7.0,8.0,6.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,No formal qualifications,Eastern
3058,2.0,2.0,0.0,58.0,572.78,1.5,1.0,7.0,1.0,3.0,7.0,,4.0,2.0,Male,Retired/unoccupied but under minimum NI Pension age,White,Cohabitee,Owned outright,,East Midlands
3059,4.0,2.0,2.0,44.0,316.61,2.1,1.0,3.0,3.0,1.0,2.0,,7.0,2.0,Male,Part-time employee,Asian or Asian British,Married and living with your husband/wife,Hsng Assn (furnished unfrnish),,London
3060,1.0,1.0,0.0,71.0,261.012,1.0,1.0,3.0,1.0,6.0,5.0,,4.0,2.0,Male,Part-time employee,White,Divorced,Owned with mortgage,,East Midlands
3061,2.0,2.0,0.0,49.0,431.57,1.5,2.0,1.0,1.0,3.0,5.0,4.0,8.0,2.0,Female,Self-employed,White,Cohabitee,Owned with mortgage,ONC National level/BTEC,South East
3062,4.0,2.0,2.0,45.0,579.55,2.1,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,North East
3063,2.0,2.0,0.0,74.0,314.154,1.5,1.0,6.0,1.0,1.0,7.0,,4.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,East Midlands
3064,2.0,2.0,0.0,49.0,304.25,1.5,1.0,2.0,1.0,1.0,2.0,5.0,4.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Hsng Assn (furnished unfrnish),O-Level or GCSE A-C,East Midlands
3065,1.0,1.0,0.0,57.0,222.47,1.0,1.0,2.0,1.0,4.0,1.0,7.0,3.0,2.0,Male,Full-time employee,White,Single,LA (furnished unfurnished),"Other, including foreign qualification below degree level",Yorkshire and the Humber
3066,2.0,2.0,0.0,64.0,145.0,1.5,1.0,7.0,1.0,1.0,7.0,7.0,8.0,2.0,Male,Retired/unoccupied but under minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,"Other, including foreign qualification below degree level",South East
3067,4.0,4.0,0.0,43.0,963.5,2.5,2.0,2.0,1.0,1.0,1.0,3.0,8.0,2.0,Female,Full-time employee,White,Married and living with your husband/wife,LA (furnished unfurnished),A-Levels/Highers,South East
3068,2.0,2.0,0.0,64.0,739.38,1.5,1.0,7.0,1.0,1.0,7.0,1.0,9.0,2.0,Male,Retired/unoccupied but under minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,Degree or equivalent,South West
